ID,본문,소제목,제목,저자,annotator01,annotator02,annotator03,annotator04
15,도로 가 들여다보니 사나이는 그대로 있습니다.,,자화상,윤동주,"신기함/관심, 불쌍함/연민, 아껴주는","경악, 놀람, 당황/난처, 불쌍함/연민, 불안/걱정, 슬픔","놀람, 불쌍함/연민","경악, 깨달음, 당황/난처, 안타까움/실망, 패배/자기혐오"
16,다시 그 사나이가 미워져 돌아갑니다.,,자화상,윤동주,"불평/불만, 짜증, 증오/혐오, 불쌍함/연민","짜증, 증오/혐오, 지긋지긋, 어이없음, 한심함, 화남/분노","당황/난처, 부끄러움, 불쌍함/연민, 안타까움/실망, 패배/자기혐오","불평/불만, 안타까움/실망, 슬픔, 절망, 의심/불신"
17,돌아가다 생각하니 그 사나이가 그리워집니다.,,자화상,윤동주,"불쌍함/연민, 신기함/관심, 슬픔, 불안/걱정","신기함/관심, 슬픔, 불안/걱정, 서러움, 아껴주는, 깨달음","기대감, 깨달음, 불쌍함/연민, 아껴주는, 안타까움/실망, 죄책감","서러움, 슬픔, 불쌍함/연민"
18,우물 속에는 달이 밝고 구름이 흐르고 하늘이 펼치고 파아란 바람이 불고 가을이 있고 추억처럼 사나이가 있습니다.,,자화상,윤동주,"감동/감탄, 아껴주는, 불쌍함/연민, 환영/호의","아껴주는, 슬픔, 불쌍함/연민, 불안/걱정","기대감, 신기함/관심","감동/감탄, 신기함/관심, 기쁨, 깨달음, 안심/신뢰, 아껴주는, 편안/쾌적"
19,쫓아오든 햇빛인데,,십자가,윤동주,"신기함/관심, 공포/무서움, 지긋지긋","신기함/관심, 공포/무서움, 지긋지긋, 불안/걱정, 부담/안_내킴","귀찮음, 당황/난처, 부담/안_내킴","안심/신뢰, 행복"
20,지금 교회당 꼭대기,,십자가,윤동주,없음,"없음, 기대감, 불안/걱정, 비장함",없음,"비장함, 아껴주는, 신기함/관심, 존경"
21,십자가에 걸리었습니다.,,십자가,윤동주,"안타까움/실망, 불안/걱정, 공포/무서움, 슬픔, 패배/자기혐오","안타까움/실망, 불안/걱정, 슬픔, 서러움, 불쌍함/연민, 절망","공포/무서움, 깨달음, 놀람, 부담/안_내킴","놀람, 불안/걱정, 안타까움/실망, 절망, 힘듦/지침"
22,첨탑(尖塔)이 저렇게도 높은데,,십자가,윤동주,"놀람, 경악, 당황/난처","놀람, 경악, 당황/난처, 불안/걱정, 신기함/관심","불쌍함/연민, 신기함/관심, 한심함","불안/걱정, 절망, 힘듦/지침"
23,어떻게 올라갈 수 있을까요.,,십자가,윤동주,"불안/걱정, 의심/불신, 힘듦/지침, 패배/자기혐오, 안타까움/실망","기대감, 불안/걱정, 서러움","당황/난처, 부담/안_내킴, 안타까움/실망","불안/걱정, 안타까움/실망, 힘듦/지침"
24,종소리도 들려 오지 않는데,,십자가,윤동주,"안타까움/실망, 없음","안타까움/실망, 없음","당황/난처, 불안/걱정, 안타까움/실망","서러움, 슬픔, 절망"
25,휘파람이나 불며 서성거리다가,,십자가,윤동주,"기대감, 신기함/관심","불안/걱정, 슬픔, 힘듦/지침, 서러움",없음,불안/걱정
26,괴로웠던 사나이,,십자가,윤동주,"불쌍함/연민, 절망, 안타까움/실망, 신기함/관심, 패배/자기혐오, 힘듦/지침","불쌍함/연민, 안타까움/실망, 힘듦/지침","부담/안_내킴, 불쌍함/연민, 서러움, 슬픔, 역겨움/징그러움, 패배/자기혐오","불쌍함/연민, 안타까움/실망, 힘듦/지침"
27,행복한 예수 그리스도에게,,십자가,윤동주,"존경, 기대감, 감동/감탄, 환영/호의, 기쁨","행복, 고마움, 기대감","깨달음, 비장함, 존경, 힘듦/지침","감동/감탄, 기대감, 비장함, 존경"
28,처럼,,십자가,윤동주,없음,없음,없음,"힘듦/지침, 비장함"
29,십자가가 허락된다면,,십자가,윤동주,"기대감, 없음, 환영/호의","기대감, 환영/호의, 불안/걱정, 기쁨, 비장함, 고마움, 행복, 슬픔","기대감, 깨달음","비장함, 기대감"
30,모가지를 드리우고,,십자가,윤동주,"공포/무서움, 불안/걱정",없음,"기대감, 당황/난처, 불안/걱정, 안타까움/실망, 힘듦/지침","비장함, 절망, 기대감"
31,꽃처럼 피어나는 피를,,십자가,윤동주,"비장함, 불쌍함/연민, 불안/걱정","공포/무서움, 불안/걱정, 슬픔, 경악","공포/무서움, 놀람, 당황/난처, 부담/안_내킴, 불안/걱정, 비장함","비장함, 존경, 편안/쾌적, 기대감"
32,어두워 가는 하늘 밑에,,십자가,윤동주,"불안/걱정, 신기함/관심",불안/걱정,"깨달음, 감동/감탄, 불안/걱정","공포/무서움, 불쌍함/연민, 비장함"
33,조용히 흘리겠습니다.,,십자가,윤동주,"슬픔, 없음","비장함, 슬픔, 서러움, 없음","당황/난처, 슬픔, 서러움, 안타까움/실망",비장함
34,바람이 어디로부터 불어 와,,바람이 불어,윤동주,"신기함/관심, 없음",없음,"기대감, 아껴주는","감동/감탄, 불안/걱정, 신기함/관심"
35,어디로 불려 가는 것일까,,바람이 불어,윤동주,의심/불신,"의심/불신, 불안/걱정, 기대감, 서러움, 신기함/관심","놀람, 당황/난처, 불안/걱정","불안/걱정, 당황/난처"
36,바람이 부는데,,바람이 불어,윤동주,"신기함/관심, 없음","신기함/관심, 없음, 당황/난처, 불안/걱정, 비장함, 서러움",없음,"불안/걱정, 부담/안_내킴, 재미없음"
37,내 괴로움에는 이유가 없다.,,바람이 불어,윤동주,"슬픔, 서러움, 당황/난처, 부담/안_내킴","슬픔, 서러움, 당황/난처, 비장함, 불안/걱정, 깨달음, 안타까움/실망","힘듦/지침, 한심함, 패배/자기혐오, 안타까움/실망, 슬픔, 서러움","비장함, 패배/자기혐오, 힘듦/지침, 절망"
38,내 괴로움에는 이유가 없을까,,바람이 불어,윤동주,"슬픔, 서러움, 불안/걱정, 불평/불만","슬픔, 서러움, 불안/걱정, 불평/불만, 당황/난처, 패배/자기혐오","깨달음, 놀람, 당황/난처, 안타까움/실망, 의심/불신","불안/걱정, 당황/난처, 의심/불신, 힘듦/지침, 비장함"
39,단 한 여자를 사랑한 일도 없다.,,바람이 불어,윤동주,"한심함, 불평/불만, 불쌍함/연민, 부담/안_내킴, 패배/자기혐오","한심함, 불쌍함/연민, 패배/자기혐오, 안타까움/실망, 서러움, 슬픔, 부끄러움, 불안/걱정","당황/난처, 부담/안_내킴, 불쌍함/연민, 불평/불만, 서러움, 안타까움/실망, 한심함","슬픔, 비장함, 안타까움/실망, 힘듦/지침"
40,시대를 슬퍼한 일도 없다.,,바람이 불어,윤동주,"어이없음, 서러움, 안타까움/실망, 절망","서러움, 안타까움/실망, 절망, 죄책감, 한심함, 슬픔, 깨달음, 불평/불만, 패배/자기혐오","슬픔, 서러움, 비장함","깨달음, 비장함, 화남/분노"
41,바람이 자꼬 부는데,,바람이 불어,윤동주,"지긋지긋, 귀찮음, 불안/걱정","지긋지긋, 귀찮음, 불안/걱정, 당황/난처, 서러움, 안타까움/실망","당황/난처, 부담/안_내킴, 짜증, 지긋지긋","기대감, 불안/걱정, 힘듦/지침"
42,내 발이 반석 우에 섰다.,,바람이 불어,윤동주,"비장함, 깨달음","깨달음, 비장함","비장함, 뿌듯함","기대감, 깨달음, 비장함, 뿌듯함"
43,강물이 자꼬 흐르는데,,바람이 불어,윤동주,"신기함/관심, 없음","기대감, 불안/걱정, 서러움",흐뭇함(귀여움/예쁨),"불안/걱정, 슬픔, 안타까움/실망"
44,내 발이 언덕 우에 섰다.,,바람이 불어,윤동주,없음,"없음, 비장함",없음,"감동/감탄, 기쁨, 아껴주는, 행복"
45,고향에 돌아온 날 밤에,,또 다른 고향,윤동주,"즐거움/신남, 없음",없음,"편안/쾌적, 행복, 기쁨","기대감, 기쁨, 편안/쾌적, 행복"
46,내 백골(白骨)이 따라와 한방에 누웠다.,,또 다른 고향,윤동주,"불안/걱정, 공포/무서움, 당황/난처, 부담/안_내킴, 지긋지긋","불안/걱정, 깨달음, 비장함, 슬픔","경악, 공포/무서움, 놀람, 당황/난처, 부담/안_내킴, 불안/걱정, 역겨움/징그러움","슬픔, 절망, 힘듦/지침"
47,어둔 방은 우주로 통하고,,또 다른 고향,윤동주,없음,"기대감, 불안/걱정, 감동/감탄, 놀람","감동/감탄, 공포/무서움, 불안/걱정, 신기함/관심","편안/쾌적, 깨달음, 기대감"
48,하늘에선가 소리처럼 바람이 불어 온다.,,또 다른 고향,윤동주,"신기함/관심, 편안/쾌적, 환영/호의","신기함/관심, 편안/쾌적, 환영/호의","깨달음, 놀람, 불안/걱정","기대감, 편안/쾌적, 행복"
49,어둠 속에 곱게 풍화작용(風化作用)하는,,또 다른 고향,윤동주,"깨달음, 신기함/관심, 기대감","불안/걱정, 비장함, 서러움, 슬픔","부담/안_내킴, 비장함, 패배/자기혐오","불안/걱정, 불평/불만, 의심/불신, 힘듦/지침, 안타까움/실망"
50,백골을 들여다보며,,또 다른 고향,윤동주,"신기함/관심, 불안/걱정, 패배/자기혐오, 공포/무서움","불안/걱정, 공포/무서움, 불쌍함/연민, 서러움, 슬픔, 신기함/관심","공포/무서움, 당황/난처, 부담/안_내킴","경악, 불쌍함/연민, 슬픔, 절망"
51,눈물짓는 것이 내가 우는 것이냐,,또 다른 고향,윤동주,"슬픔, 서러움","슬픔, 서러움, 당황/난처, 경악, 놀람, 패배/자기혐오, 의심/불신","놀람, 슬픔, 서러움","슬픔, 서러움, 힘듦/지침"
52,백골이 우는 것이냐,,또 다른 고향,윤동주,"슬픔, 서러움, 안타까움/실망","신기함/관심, 깨달음, 불쌍함/연민, 서러움, 슬픔, 아껴주는","서러움, 슬픔, 절망","경악, 놀람, 당황/난처, 슬픔, 안타까움/실망, 절망"
53,아름다운 혼이 우는 것이냐,,또 다른 고향,윤동주,"의심/불신, 슬픔, 흐뭇함(귀여움/예쁨), 불안/걱정, 불쌍함/연민","불쌍함/연민, 불안/걱정, 서러움, 슬픔, 안타까움/실망, 놀람","놀람, 기대감, 뿌듯함, 비장함","슬픔, 힘듦/지침, 불쌍함/연민"
54,지조 높은 개는,,또 다른 고향,윤동주,"우쭐댐/무시함, 없음","감동/감탄, 기대감, 신기함/관심, 아껴주는, 존경, 환영/호의","비장함, 존경, 힘듦/지침","감동/감탄, 존경, 흐뭇함(귀여움/예쁨), 아껴주는"
55,밤을 새워 어둠을 짖는다.,,또 다른 고향,윤동주,"불안/걱정, 공포/무서움","불안/걱정, 비장함, 존경, 서러움","감동/감탄, 깨달음, 불쌍함/연민, 비장함, 안타까움/실망, 화남/분노","불평/불만, 슬픔, 힘듦/지침"
56,어둠을 짖는 개는,,또 다른 고향,윤동주,"공포/무서움, 불안/걱정","공포/무서움, 불안/걱정, 고마움, 존경, 감동/감탄, 서러움, 슬픔, 아껴주는, 불쌍함/연민","놀람, 경악, 당황/난처, 부끄러움, 패배/자기혐오, 한심함","불안/걱정, 의심/불신, 공포/무서움"
57,나를 쫓는 것일 게다.,,또 다른 고향,윤동주,"의심/불신, 패배/자기혐오","불안/걱정, 공포/무서움, 깨달음","당황/난처, 불안/걱정, 의심/불신","깨달음, 놀람"
58,가자 가자,,또 다른 고향,윤동주,"비장함, 즐거움/신남","기대감, 불안/걱정, 비장함, 힘듦/지침","기대감, 기쁨","기대감, 비장함"
59,쫓기우는 사람처럼 가자,,또 다른 고향,윤동주,비장함,비장함,"기대감, 기쁨, 부담/안_내킴, 슬픔","불안/걱정, 힘듦/지침, 비장함"
60,백골 몰래,,또 다른 고향,윤동주,"불안/걱정, 의심/불신, 공포/무서움","공포/무서움, 불안/걱정","역겨움/징그러움, 의심/불신","비장함, 슬픔, 절망"
61,아름다운 또 다른 고향에 가자.,,또 다른 고향,윤동주,"기대감, 기쁨, 환영/호의, 행복, 아껴주는","기대감, 기쁨, 아껴주는, 즐거움/신남","기대감, 기쁨, 신기함/관심, 즐거움/신남","기대감, 환영/호의, 행복, 즐거움/신남, 기쁨"
62,계절이 지나가는 하늘에는,,별 헤는 밤,윤동주,"신기함/관심, 흐뭇함(귀여움/예쁨)",신기함/관심,"기대감, 흐뭇함(귀여움/예쁨)","감동/감탄, 신기함/관심, 아껴주는, 행복"
63,가을로 가득 차 있습니다.,,별 헤는 밤,윤동주,"감동/감탄, 환영/호의, 흐뭇함(귀여움/예쁨)","감동/감탄, 환영/호의, 흐뭇함(귀여움/예쁨), 기쁨, 기대감, 서러움, 비장함, 놀람","신기함/관심, 감동/감탄","기대감, 기쁨, 환영/호의"
64,나는 아무 걱정도 없이,,별 헤는 밤,윤동주,"편안/쾌적, 우쭐댐/무시함, 안심/신뢰",편안/쾌적,"안심/신뢰, 편안/쾌적","감동/감탄, 기쁨, 안심/신뢰, 편안/쾌적, 행복"
65,가을 속의 별들을 다 헤일 듯합니다...,,별 헤는 밤,윤동주,"기대감, 신기함/관심","기대감, 신기함/관심, 감동/감탄, 놀람, 비장함, 서러움, 슬픔, 아껴주는, 흐뭇함(귀여움/예쁨)","감동/감탄, 기쁨, 흐뭇함(귀여움/예쁨)",슬픔
66,가슴 속에 하나 둘 새겨지는 별을,,별 헤는 밤,윤동주,"흐뭇함(귀여움/예쁨), 감동/감탄, 기대감, 깨달음, 기쁨, 행복","감동/감탄, 기대감, 깨달음, 기쁨, 행복, 뿌듯함, 비장함, 아껴주는, 안심/신뢰","기쁨, 깨달음, 아껴주는, 흐뭇함(귀여움/예쁨)","기쁨, 감동/감탄, 아껴주는, 환영/호의, 행복"
67,이제 다 못 헤는 것은,,별 헤는 밤,윤동주,"안타까움/실망, 기대감, 당황/난처, 깨달음","안타까움/실망, 당황/난처, 불안/걱정, 서러움, 슬픔","부담/안_내킴, 비장함","감동/감탄, 슬픔, 힘듦/지침, 안타까움/실망"
68,"쉬이 아침이 오는 까닭이요,",,별 헤는 밤,윤동주,깨달음,"서러움, 슬픔, 불안/걱정, 안타까움/실망",기대감,"감동/감탄, 기대감, 기쁨, 한심함"
69,"내일 밤이 남은 까닭이요,",,별 헤는 밤,윤동주,"기대감, 환영/호의","기대감, 환영/호의, 기쁨, 비장함, 안심/신뢰",기대감,"감동/감탄, 기대감, 행복, 편안/쾌적"
70,아직 나의 청춘이 다하지 않은 까닭입니다.,,별 헤는 밤,윤동주,"깨달음, 고마움, 기대감, 아껴주는, 환영/호의, 흐뭇함(귀여움/예쁨)","비장함, 기쁨, 슬픔","기대감, 비장함","감동/감탄, 기대감, 깨달음, 비장함, 기쁨"
71,별 하나에 추억과,,별 헤는 밤,윤동주,"기쁨, 기대감, 신기함/관심, 흐뭇함(귀여움/예쁨)","기쁨, 깨달음, 부끄러움, 슬픔, 행복","기쁨, 기대감, 행복","감동/감탄, 기쁨, 아껴주는, 편안/쾌적, 행복"
72,별 하나에 사랑과,,별 헤는 밤,윤동주,"아껴주는, 감동/감탄, 기쁨, 신기함/관심, 흐뭇함(귀여움/예쁨)","아껴주는, 감동/감탄, 기쁨, 신기함/관심, 흐뭇함(귀여움/예쁨), 깨달음, 서러움, 환영/호의","기대감, 기쁨","감동/감탄, 기대감, 기쁨, 아껴주는, 깨달음, 행복"
73,별 하나에 쓸쓸함과,,별 헤는 밤,윤동주,"슬픔, 서러움","서러움, 슬픔, 비장함, 안타까움/실망","기대감, 불쌍함/연민, 서러움, 슬픔, 안타까움/실망, 흐뭇함(귀여움/예쁨)","편안/쾌적, 슬픔, 힘듦/지침, 재미없음"
74,별 하나에 동경과,,별 헤는 밤,윤동주,"존경, 흐뭇함(귀여움/예쁨), 감동/감탄, 환영/호의","감동/감탄, 존경, 환영/호의","기대감, 기쁨, 뿌듯함, 아껴주는","감동/감탄, 기쁨, 기대감, 뿌듯함, 존경, 행복"
75,별 하나에 시와,,별 헤는 밤,윤동주,"흐뭇함(귀여움/예쁨), 아껴주는, 감동/감탄, 고마움","흐뭇함(귀여움/예쁨), 아껴주는, 감동/감탄, 고마움, 기대감, 뿌듯함, 놀람, 비장함, 서러움, 슬픔",없음,"감동/감탄, 기대감, 아껴주는, 행복"
76,"별 하나에 어머니, 어머니",,별 헤는 밤,윤동주,"아껴주는, 기대감, 불쌍함/연민","아껴주는, 감동/감탄, 고마움, 깨달음, 서러움, 슬픔, 환영/호의","고마움, 기대감, 불쌍함/연민, 서러움, 안타까움/실망","기쁨, 아껴주는, 안심/신뢰, 행복"
77,"어머님, 나는 별 하나에 아름다운 말 한 마디씩 불러 봅니다. 소학교 때 책상을 같이했던 아이들의 이름과, 패, 경, 옥 이런 이국 소녀들의 이름과, 벌써 아기 어머니 된 계집애들의 이름과, 가난한 이웃 사람들의 이름과, 비둘기, 강아지, 토끼, 노새, 노루, '프랑시스 잠', '라이너 마리아 릴케', 이런 시인의 이름을 불러 봅니다.",,별 헤는 밤,윤동주,"아껴주는, 기대감, 불쌍함/연민, 흐뭇함(귀여움/예쁨), 존경, 깨달음, 기쁨, 환영/호의","기쁨, 고마움, 서러움, 슬픔, 아껴주는, 환영/호의, 흐뭇함(귀여움/예쁨)","불쌍함/연민, 슬픔, 뿌듯함, 안타까움/실망, 기쁨, 기대감, 깨달음","아껴주는, 감동/감탄, 행복, 편안/쾌적"
78,이네들은 너무나 멀리 있습니다.,,별 헤는 밤,윤동주,"서러움, 슬픔, 안타까움/실망","서러움, 슬픔, 안타까움/실망, 당황/난처, 불평/불만, 아껴주는","불안/걱정, 서러움, 안타까움/실망","슬픔, 불안/걱정, 안타까움/실망, 힘듦/지침"
79,"별이 아스라이 멀 듯이,",,별 헤는 밤,윤동주,"기대감, 흐뭇함(귀여움/예쁨), 불안/걱정","깨달음, 서러움, 슬픔, 안타까움/실망",없음,"감동/감탄, 편안/쾌적, 행복"
80,"어머님,",,별 헤는 밤,윤동주,없음,"없음, 아껴주는, 서러움, 슬픔","고마움, 기대감, 기쁨, 안심/신뢰","슬픔, 아껴주는, 안심/신뢰, 존경, 비장함"
81,그리고 당신은 멀리 북간도에 계십니다,,별 헤는 밤,윤동주,"안타까움/실망, 불안/걱정, 아껴주는","안타까움/실망, 아껴주는, 슬픔, 서러움, 존경","부담/안_내킴, 불안/걱정, 불평/불만, 서러움, 슬픔, 안타까움/실망","서러움, 슬픔, 아껴주는, 힘듦/지침"
82,나는 무엇인지 그리워,,별 헤는 밤,윤동주,"슬픔, 불안/걱정","슬픔, 불안/걱정, 서러움","불쌍함/연민, 불안/걱정, 서러움, 안타까움/실망","불쌍함/연민, 슬픔, 아껴주는, 불안/걱정"
83,이 많은 별빛이 내린 언덕 위에,,별 헤는 밤,윤동주,"흐뭇함(귀여움/예쁨), 감동/감탄, 기대감, 환영/호의","흐뭇함(귀여움/예쁨), 감동/감탄, 기대감, 환영/호의, 놀람, 비장함, 아껴주는","기대감, 깨달음, 흐뭇함(귀여움/예쁨)","감동/감탄, 기대감, 기쁨, 신기함/관심, 행복"
84,"내 이름자를 써 보고,",,별 헤는 밤,윤동주,"신기함/관심, 기대감, 없음, 안심/신뢰","기대감, 불안/걱정",없음,"기쁨, 아껴주는, 행복, 흐뭇함(귀여움/예쁨)"
85,흙으로 덮어 버리었습니다.,,별 헤는 밤,윤동주,"안타까움/실망, 불평/불만, 짜증, 없음","부담/안_내킴, 안타까움/실망, 지긋지긋","부담/안_내킴, 짜증","슬픔, 절망, 힘듦/지침"
86,"딴은, 밤을 새워 우는 벌레는",,별 헤는 밤,윤동주,"슬픔, 서러움, 신기함/관심","슬픔, 서러움, 신기함/관심, 불안/걱정, 불쌍함/연민","슬픔, 불쌍함/연민, 불안/걱정","슬픔, 부끄러움, 힘듦/지침, 재미없음"
87,부끄러운 이름을 슬퍼하는 까닭입니다.,,별 헤는 밤,윤동주,"부끄러움, 슬픔, 안타까움/실망","부끄러움, 서러움, 슬픔, 깨달음","당황/난처, 부끄러움, 서러움, 슬픔, 안타까움/실망","부끄러움, 슬픔, 죄책감"
88,그러나 겨울이 지나고 나의 별에도 봄이 오면,,별 헤는 밤,윤동주,기대감,"기대감, 비장함, 환영/호의","기대감, 기쁨, 뿌듯함, 즐거움/신남","감동/감탄, 기대감, 신기함/관심, 아껴주는, 환영/호의, 행복"
89,무덤 위에 파란 잔디가 피어나듯이,,별 헤는 밤,윤동주,"환영/호의, 깨달음, 신기함/관심","서러움, 슬픔, 아껴주는","공포/무서움, 깨달음, 뿌듯함, 안심/신뢰, 환영/호의","기대감, 기쁨, 환영/호의, 슬픔, 행복"
90,내 이름자 묻힌 언덕 위에도,,별 헤는 밤,윤동주,"신기함/관심, 없음, 의심/불신","기대감, 불안/걱정, 서러움, 비장함, 슬픔","깨달음, 부담/안_내킴, 불쌍함/연민, 불안/걱정, 서러움, 슬픔","슬픔, 힘듦/지침, 재미없음, 절망"
91,자랑처럼 풀이 무성할 게외다.,,별 헤는 밤,윤동주,"기대감, 우쭐댐/무시함, 없음","불쌍함/연민, 서러움, 슬픔, 안타까움/실망, 한심함, 뿌듯함, 기쁨, 감동/감탄, 아껴주는","기대감, 기쁨, 뿌듯함","감동/감탄, 기대감, 기쁨, 아껴주는, 행복, 즐거움/신남"
92,"살구나무 그늘로 얼굴을 가리고, 병원 뒤뜰에 누워, 젊은 여자가 흰 옷 아래로 하얀 다리를 드러내 놓고 일광욕을 한다. 한나절이 기울도록 가슴을 앓는 다는 이 여자를 찾아오는 이, 나비 한 마리도 없다. 슬프지도 않은 살구나무 가지에는 바람조차 없다.",,병원,윤동주,"슬픔, 불쌍함/연민, 신기함/관심","슬픔, 불쌍함/연민, 신기함/관심, 서러움, 불안/걱정, 안타까움/실망","불쌍함/연민, 불안/걱정, 서러움, 슬픔, 신기함/관심, 안타까움/실망","슬픔, 절망, 힘듦/지침"
93,"나도 모를 아픔을 오래 참다 처음으로 이 곳에 찾아 왔다. 그러나 나의 늙은 의사는 젊은이의 병을 모른다. 나한테는 병이 없다고 한다. 이 지나친 시련, 이 지나친 피로, 나는 성내서는 안 된다.",,병원,윤동주,"힘듦/지침, 의심/불신, 한심함, 불평/불만, 불안/걱정","힘듦/지침, 의심/불신, 한심함, 불평/불만, 불안/걱정, 화남/분노, 서러움, 당황/난처, 지긋지긋, 안타까움/실망","당황/난처, 경악, 불평/불만, 안타까움/실망, 어이없음, 의심/불신, 화남/분노, 힘듦/지침","절망, 힘듦/지침, 지긋지긋, 불평/불만, 의심/불신"
94,여자는 자리에서 일어나 옷깃을 여미고 화단에서 금잔화 한 포기를 따 가슴에 꽂고 병실 안으로 사라진다. 나는 그 여자의 건강이 ---- 아니 내 건강도 속히 회복되기를 바라며 그가 누웠던 자리에 누워 본다.,,병원,윤동주,"신기함/관심, 기대감","기대감, 불쌍함/연민, 슬픔, 신기함/관심, 아껴주는","기쁨, 뿌듯함, 아껴주는, 즐거움/신남, 행복, 환영/호의","불쌍함/연민, 불안/걱정, 슬픔, 아껴주는, 절망"
95,잃어버렸습니다.,,길,윤동주,"안타까움/실망, 슬픔, 당황/난처","안타까움/실망, 슬픔, 당황/난처, 서러움","놀람, 당황/난처, 부끄러움, 부담/안_내킴, 불안/걱정, 안타까움/실망","경악, 슬픔"
96,무얼 어디다 잃었는지 몰라,,길,윤동주,"슬픔, 불안/걱정, 의심/불신, 당황/난처","슬픔, 불안/걱정, 당황/난처, 어이없음, 한심함, 짜증, 서러움","당황/난처, 부담/안_내킴, 불안/걱정, 힘듦/지침, 지긋지긋","당황/난처, 불안/걱정, 슬픔, 힘듦/지침"
97,두 손의 호주머니를 더듬어,,길,윤동주,없음,없음,"감동/감탄, 기대감, 기쁨","불안/걱정, 없음"
98,길에 나갑니다.,,길,윤동주,"비장함, 없음, 기대감",없음,없음,"기대감, 비장함, 힘듦/지침"
99,돌과 돌과 돌이 끝없이 연달아,,길,윤동주,"신기함/관심, 지긋지긋","지긋지긋, 힘듦/지침, 불평/불만",없음,"불안/걱정, 의심/불신, 슬픔, 절망, 힘듦/지침"
100,길은 돌담을 끼고 갑니다.,,길,윤동주,"신기함/관심, 없음","신기함/관심, 없음",없음,"불안/걱정, 힘듦/지침, 지긋지긋, 비장함"
